QtrEMPLID,Paycode_Entry
ALDD_FY2022_Q2,"9 - 60485, CASBNS - 60583, NORMAL - 60485"
ALDD_FY2023_Q1,"9 - 64225, CASBNS - 65561, NORMAL - 64225"
ALDD_FY2023_Q2,"9 - 65619, CASBNS - 65761, NORMAL - 65619"
ALDD_FY2024_Q2,"9 - 72225, AL - 73951, LOADING - 73951, NORMAL - 72225, PH - 72225"
ALDD_FY2024_Q3,"9 - 74125, AL - 74125, LOADING - 74125, NORMAL - 74125, PH - 74125"
ALDD_FY2024_Q4,"9 - 76038, AL - 76463, LOADING - 76463, NORMAL - 76038, PH - 76038"
AMOJ_FY2024_Q4,"9 - 77651, NORMAL - 77651"
ANWL_FY2023_Q4,"9 - 68174, NORMAL - 68174"
ANWL_FY2024_Q2,"9 - 72226, CASBNS - 72226, NORMAL - 72226"
ANWL_FY2024_Q3,"9 - 74126, CASBNS - 74126, NORMAL - 74240"
ANWL_FY2024_Q4,"9 - 76039, CASBNS - 76039, HRSBNS - 76776, MEAL4 - 76464, NORMAL - 76039"
ARMS_FY2022_Q1,"9 - 60169, NORMAL - 60169"
ARMS_FY2022_Q2,"9 - 60556, BEREAVE - 61424, NORMAL - 60556, PH - 60569"
ARMS_FY2022_Q3,"9 - 61603, AL - 61603, LOADING - 61603, NORMAL - 61603, PH - 61603"
ARMS_FY2022_Q4,"9 - 62964, AL - 64123, LOADING - 64123, NORMAL - 62964, PH - 63110, SL - 63508"
ARMS_FY2023_Q1,"9 - 64304, AL - 65509, LOADING - 65509, NORMAL - 64304, PH - 65075"
ARMS_FY2023_Q2,"9 - 65609, AL - 65609, LOADING - 65609, NORMAL - 65709, PH - 65709"
ARMS_FY2023_Q3,"9 - 66928, AL - 66928, LOADING - 66928, NORMAL - 67097, PH - 66928, SL - 67936"
ARMS_FY2023_Q4,"9 - 68239, AL - 68265, LOADING - 68265, NORMAL - 68239, PH - 68265"
ARMS_FY2024_Q1,"9 - 70239, AL - 70262, LOADING - 70262, NORMAL - 70239, PH - 71487, SL - 71351"
ARMS_FY2024_Q2,"9 - 72227, AL - 74028, HRSBNS - 74028, LOADING - 74028, NORMAL - 72227, PH - 72227"
ARMS_FY2024_Q3,"9 - 74196, AL - 74196, BEREAVE - 74583, LOADING - 74196, NORMAL - 74352, PH - 74196"
ARMS_FY2024_Q4,"9 - 76040, NORMAL - 76040, PH - 76040"
BAKA_FY2024_Q4,"9 - 76549, NORMAL - 76549"
BARG_FY2022_Q3,"9 - 61604, AL - 61604, LOADING - 61604, NORMAL - 61604, PH - 61604, SL - 62792"
BARG_FY2022_Q4,"9 - 62965, AL - 63400, LOADING - 63400, NORMAL - 62965, PH - 63111, SL - 63603"
BARG_FY2023_Q1,"9 - 64230, AL - 64230, LOADING - 64230, NORMAL - 64402, PH - 65076"
BARG_FY2023_Q2,"9 - 65620, AL - 66834, LOADING - 66834, NORMAL - 65620, PH - 65710"
BARG_FY2023_Q3,"9 - 66929, AL - 66929, LOADING - 66929, NORMAL - 67098, PH - 66929"
BARG_FY2023_Q4,"9 - 68240, HRSBNS - 68372, NORMAL - 68240, PH - 68266"
BARG_FY2024_Q1,"9 - 70196, AL - 71756, LOADING - 71756, NORMAL - 70196, PH - 71488, SL - 70746"
BARG_FY2024_Q2,"9 - 72228, AL - 74030, LOADING - 74030, NORMAL - 72228, PH - 72228, SL - 73000"
BARG_FY2024_Q3,"9 - 74198, AL - 74198, LOADING - 74198, NORMAL - 74353, PH - 74198, SL - 75631"
BARG_FY2024_Q4,"9 - 76041, AL - 76154, LOADING - 76154, NORMAL - 76041, PH - 76041, SL - 76550"
BART_FY2022_Q1,"9 - 59518, AL - 59823, LOADING - 59823, NORMAL - 59518, PH - 60056"
BART_FY2022_Q2,"9 - 60557, NORMAL - 60557, PH - 60570"
BART_FY2022_Q3,"8 - 61605, 9 - 61685, AL - 61605, HRSBNS - 61605, LOADING - 61605, NORMAL - 61605, PH - 61605"
BART_FY2022_Q4,"9 - 62966, NORMAL - 62966, PH - 63112"
BART_FY2023_Q1,"9 - 64305, AL - 65182, LOADING - 65182, NORMAL - 64305, PH - 65077"
BART_FY2023_Q2,"8 - 66835, 9 - 65690, AL - 66835, HRSBNS - 66835, LOADING - 66835, NORMAL - 65690, PH - 65711"
BART_FY2023_Q3,"9 - 66930, AL - 66930, LOADING - 66930, NORMAL - 67099, PH - 66930"
BART_FY2023_Q4,"9 - 68241, NORMAL - 68241, PH - 68267"
BART_FY2024_Q1,"9 - 70240, AL - 70979, LOADING - 70979, NORMAL - 70240, PH - 71489"
BART_FY2024_Q2,"9 - 72229, AL - 74029, HRSBNS - 74029, NORMAL - 72229, PH - 72229"
BART_FY2024_Q3,"9 - 74197, AL - 74197, LOADING - 74197, NORMAL - 74242, PH - 74197"
