QtrEMPLID,Paycode_Entry
ALDD_FY2024_Q4,"9 - 76038, AL - 76463, NORMAL - 76038, PH - 76038"
AMOJ_FY2024_Q4,"9 - 77651, NORMAL - 77651"
ANWL_FY2024_Q4,"9 - 76039, CASBNS - 76039, HRSBNS - 76776, NORMAL - 76039"
ARMS_FY2022_Q1,"9 - 60169, NORMAL - 60169"
ARMS_FY2024_Q4,"9 - 76040, NORMAL - 76040, PH - 76040"
BAKA_FY2024_Q4,"9 - 76549, NORMAL - 76549"
BARG_FY2023_Q4,"9 - 68240, HRSBNS - 68372, NORMAL - 68240, PH - 68266"
BARG_FY2024_Q4,"9 - 76041, AL - 76154, NORMAL - 76041, PH - 76041, SL - 76550"
BART_FY2024_Q4,"9 - 76042, PH - 76434, SL - 76042"
BEAA_FY2023_Q2,"9 - 65691, AL - 66836, AL-CASHO - 66548, HRSBNS - 66836, NORMAL - 65691, PH - 65712, SL - 65805"
BEAA_FY2024_Q4,"9 - 76043, AL - 76435, NORMAL - 76043, PH - 76043, SL - 77090"
BENL_FY2024_Q4,"9 - 76044, AL - 76156, NORMAL - 76044, PH - 76044"
BLAM_FY2024_Q4,"9 - 76045, AL - 77091, NORMAL - 76045, PH - 76045"
BOTA_FY2024_Q3,"9 - 74695, NORMAL - 74695, PH - 74695, VEHICLE - 74695"
BOTA_FY2024_Q4,"9 - 76046, NORMAL - 76046, PH - 76046, VEHICLE - 76046"
BRIT_FY2024_Q2,"9 - 72232, CASBNS - 72232, NORMAL - 72232"
BRIT_FY2024_Q3,"9 - 74127, CASBNS - 74127, NORMAL - 74241"
BRIT_FY2024_Q4,"9 - 76047, CASBNS - 76047, NORMAL - 76047"
BROD_FY2024_Q4,"9 - 76048, NORMAL - 76048, PH - 76048"
CADD_FY2023_Q4,"9 - 68245, HRSBNS - 68614, NORMAL - 68245, PH - 68274, SL - 69523, VEHICLE - 68245"
CADD_FY2024_Q1,"9 - 70194, AL - 70556, HRSBNS - 70397, NORMAL - 70194, PH - 71496, SL - 71354, VEHICLE - 70194"
CADD_FY2024_Q2,"9 - 72236, AL - 74035, HRSBNS - 72236, NORMAL - 72236, PH - 72236, SL - 73592, VEHICLE - 72236"
CADD_FY2024_Q3,"9 - 74203, AL - 74203, HRSBNS - 74203, NORMAL - 74358, PH - 74203, SL - 74449, VEHICLE - 74203"
CADD_FY2024_Q4,"9 - 76050, AL - 76159, HRSBNS - 76050, NORMAL - 76050, PH - 76050, SL - 76459, VEHICLE - 76050"
CANP_FY2023_Q3,"9 - 10027, AL - 10027, BONUS - 10027, NORMAL - 10027, PH - 10027"
CANP_FY2024_Q3,"9 - 10075, AL - 10075, BONUS - 10075, NORMAL - 10075, PH - 10075"
CANS_FY2024_Q2,"9 - 72237, AL - 74036, HRSBNS - 74036, NORMAL - 72237, PH - 72237, VEHICLE - 72237"
CANS_FY2024_Q3,"9 - 74204, AL - 74204, NORMAL - 74330, PH - 74204, VEHICLE - 74204"
