QtrEMPLID,Paycode_Entry
ALDD_FY2022_Q1,"9_10% Super Guarantee - 59467, NORMAL_Normal - 59467, ORD_Ordinary - 59467"
ALDD_FY2022_Q2,"9_10% Super Guarantee - 60485, CASBNS_Casual Bonus - 60583, NORMAL_Normal - 60485, ORD_Ordinary - 60485"
ALDD_FY2022_Q3,"9_10% Super Guarantee - 61620, CASBNS_Casual Bonus - 61620, EXTRA_Additional Hours - 62409, NORMAL_Normal - 61620, ORD_Ordinary - 61620, PL-VACC_Personal Leave vaccine - 62084"
ALDD_FY2022_Q4,"9_10% Super Guarantee - 62893, CASBNS_Casual Bonus - 63154, EXTRA_Additional Hours - 62893, NORMAL_Normal - 62893"
ALDD_FY2023_Q1,"9_10.5 % Super Guarantee - 64225, CASBNS_Casual Bonus - 65561, EXTRA_Additional Hours - 64225, NORMAL_Normal - 64225"
ALDD_FY2023_Q2,"9_10.5 % Super Guarantee - 65619, CASBNS_Casual Bonus - 65761, EXTRA_Additional Hours - 65619, NORMAL_Normal - 65619"
ALDD_FY2023_Q3,"9_10.5 % Super Guarantee - 66961, CASBNS_Casual Bonus - 66961, EXTRA_Additional Hours - 67030, NORMAL_Normal - 67030, PH_Public Holiday - 67220"
ALDD_FY2023_Q4,"9_10.5 % Super Guarantee - 68136, EXTRA_Additional Hours - 68136, NORMAL_Normal - 68136, PH_Public Holiday - 68263"
ALDD_FY2024_Q1,"9_11.0 % Super Guarante - 70111, EXTRA_Additional Hours - 70111, NORMAL_Normal - 70111, PH_Public Holiday - 71485, SL_Sick Leave - 71349"
ALDD_FY2024_Q2,"9_11.0 % Super Guarante - 72225, AL_Annual Leave - 73951, EXTRA_Additional Hours - 72225, LOADING_ANNUAL LEAVE LOADING - 73951, NORMAL_Normal - 72225, PH_Public Holiday - 72225"
ALDD_FY2024_Q3,"9_11.0 % Super Guarante - 74125, AL_Annual Leave - 74125, EXTRA_Additional Hours - 74125, LOADING_ANNUAL LEAVE LOADING - 74125, NORMAL_Normal - 74125, PH_Public Holiday - 74125"
ALDD_FY2024_Q4,"9_11.0 % Super Guarante - 76038, 9_11.5 % Super Guarante - 77650, AL_Annual Leave - 76463, EXTRA_Additional Hours - 76038, LOADING_ANNUAL LEAVE LOADING - 76463, NORMAL_Normal - 76038, PH_Public Holiday - 76038"
AMOJ_FY2024_Q4,"9_11.5 % Super Guarante - 77651, EXTRA_Additional Hours - 77651, NORMAL_Normal - 77651"
ANWL_FY2023_Q3,"9_10.5 % Super Guarantee - 67731, EXTRA_Additional Hours - 67731, NORMAL_Normal - 67731"
ANWL_FY2023_Q4,"9_10.5 % Super Guarantee - 68174, EXTRA_Additional Hours - 68174, NORMAL_Normal - 68174"
ANWL_FY2024_Q1,"9_11.0 % Super Guarante - 70112, EXTRA_Additional Hours - 70112, NORMAL_Normal - 70112"
ANWL_FY2024_Q2,"9_11.0 % Super Guarante - 72226, CASBNS_Casual Bonus - 72226, EXTRA_Additional Hours - 72226, NORMAL_Normal - 72226"
ANWL_FY2024_Q3,"9_11.0 % Super Guarante - 74126, CASBNS_Casual Bonus - 74126, EXTRA_Additional Hours - 74126, NORMAL_Normal - 74240"
ANWL_FY2024_Q4,"9_11.0 % Super Guarante - 76039, 9_11.5 % Super Guarante - 77652, BPAY_Backpay - 77514, CASBNS_Casual Bonus - 76039, EXTRA_Additional Hours - 76039, HRSBNS_Bonus By Hours - 76776, NORMAL_Normal - 76039"
ARMS_FY2022_Q1,"9_10% Super Guarantee - 60169, NORMAL_Normal - 60169"
ARMS_FY2022_Q2,"9_10% Super Guarantee - 60556, BEREAVE_Bereavement Leave - 61424, NORMAL_Normal - 60556, PH_Public Holiday - 60569"
ARMS_FY2022_Q3,"9_10% Super Guarantee - 61603, AL_Annual Leave - 61603, LOADING_LEAVE LOADING 17.5% - 61603, NORMAL_Normal - 61603, PH_Public Holiday - 61603"
ARMS_FY2022_Q4,"9_10% Super Guarantee - 62964, AL_Annual Leave - 64123, LOADING_ANNUAL LEAVE LOADING - 64123, NORMAL_Normal - 62964, PH_Public Holiday - 63110, SL_Sick Leave - 63508"
ARMS_FY2023_Q1,"9_10.5 % Super Guarantee - 64304, AL_Annual Leave - 65509, LOADING_ANNUAL LEAVE LOADING - 65509, NORMAL_Normal - 64304, PH_Public Holiday - 65075"
ARMS_FY2023_Q2,"9_10.5 % Super Guarantee - 65609, AL_Annual Leave - 65609, LOADING_ANNUAL LEAVE LOADING - 65609, NORMAL_Normal - 65709, PH_Public Holiday - 65709"
ARMS_FY2023_Q3,"9_10.5 % Super Guarantee - 66928, AL_Annual Leave - 66928, LOADING_ANNUAL LEAVE LOADING - 66928, NORMAL_Normal - 67097, PH_Public Holiday - 66928, SL_Sick Leave - 67936"
ARMS_FY2023_Q4,"9_10.5 % Super Guarantee - 68239, AL_Annual Leave - 68265, LOADING_ANNUAL LEAVE LOADING - 68265, NORMAL_Normal - 68239, PH_Public Holiday - 68265"
ARMS_FY2024_Q1,"9_11.0 % Super Guarante - 70239, AL_Annual Leave - 70262, LOADING_ANNUAL LEAVE LOADING - 70262, NORMAL_Normal - 70239, PH_Public Holiday - 71487, SL_Sick Leave - 71351"
ARMS_FY2024_Q2,"9_11.0 % Super Guarante - 72227, AL_Annual Leave - 74028, HRSBNS_Bonus By Hours - 74028, LOADING_ANNUAL LEAVE LOADING - 74028, NORMAL_Normal - 72227, PH_Public Holiday - 72227"
ARMS_FY2024_Q3,"9_11.0 % Super Guarante - 74196, AL_Annual Leave - 74196, BEREAVE_Bereavement Leave - 74583, LOADING_ANNUAL LEAVE LOADING - 74196, NORMAL_Normal - 74352, PH_Public Holiday - 74196"
ARMS_FY2024_Q4,"9_11.0 % Super Guarante - 76040, 9_11.5 % Super Guarante - 77732, NORMAL_Normal - 76040, PH_Public Holiday - 76040"
BAKA_FY2024_Q4,"9_11.0 % Super Guarante - 76549, 9_11.5 % Super Guarante - 77653, EXTRA_Additional Hours - 76549, NORMAL_Normal - 76549"
